Season,Commentor page,Account Name,Time commented,Episode,Comment,Likes,yt-core-attributed-string 2,yt-core-attributed-string 3
1.0,https://www.youtube.com/@viankahihatz7015,@viankahihatz7015,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxWlHh-NUheQhO2Svx4AaABAg&pp=0gcJCSIANpG00pGi,How is no one talking about his jawline,8,Reply,1 reply
1.0,https://www.youtube.com/@daniel-vn4ql,@daniel-vn4ql,3 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzijHY792GvlO1XKdR4AaABAg,I got a bit of a shock when i googled the magazine. and realized it was still going today. I assumed it would be long finished.,1,Reply,
1.0,https://www.youtube.com/@dilatedbeholder3865,@dilatedbeholder3865,1 year ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyLiNjWJQViaSc1W6R4AaABAg,Why was Simon Woodruffe still writing after he was out,2,Reply,
1.0,https://www.youtube.com/@readmycomment3157,@readmycomment3157,3 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwZlyuRqU5bgpbKJMd4AaABAg,"This guy has total self belief, but not delusional.",,Reply,
1.0,https://www.youtube.com/@kittymaher9395,@kittymaher9395,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyBDYkLVgMY2jqxOeB4AaABAg,"Great guy, very investable ,",6,Reply,
1.0,https://www.youtube.com/@thomasfinn3344,@thomasfinn3344,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxSPb8Kjwz0i8-3A-F4AaABAg,"It turns over 43,000,000 dollars. How embarrassing for Simon and the others.",60,Reply,13 replies
1.0,https://www.youtube.com/@jimmycrackers3358,@jimmycrackers3358,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz03IC77qs89NAk8-J4AaABAg,just come here for my break from gordon Ramsay and top gear,32,Reply,
1.0,https://www.youtube.com/@weloveannanetrebko,@weloveannanetrebko,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyeZH38jLnUqdpS11N4AaABAg,Aaaand now Wonderland is worth £43m. Best investment yet,8,Reply,2 replies
1.0,https://www.youtube.com/@davidevans3175,@davidevans3175,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwHcq_gdB1XRoZRcJd4AaABAg,One of the best names for a magazine ever.,5,Reply,
1.0,https://www.youtube.com/@prateeksuresh9758,@prateeksuresh9758,5 years ago (edited),https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzxoT19PyHXxCkAGY94AaABAg,"‘I’m not going to be the 4th fool and I’m not going to invest in your business’ either way, you became a fool by refusing this investment",63,Reply,
1.0,https://www.youtube.com/@craigpardy6204,@craigpardy6204,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxWklfcW0o5nFZzaf94AaABAg&pp=0gcJCSIANpG00pGi,"Peter ""I'll take the car, house and shirt off your back"" Jones..",2,Reply,5 replies
1.0,https://www.youtube.com/@viankahihatz7015,@viankahihatz7015,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxWlHh-NUheQhO2Svx4AaABAg&pp=0gcJCSIANpG00pGi,How is no one talking about his jawline,8,Reply,
1.0,https://www.youtube.com/@daniel-vn4ql,@daniel-vn4ql,3 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzijHY792GvlO1XKdR4AaABAg,I got a bit of a shock when i googled the magazine. and realized it was still going today. I assumed it would be long finished.,1,Reply,1 reply
1.0,https://www.youtube.com/@thomasfinn3344,@thomasfinn3344,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxSPb8Kjwz0i8-3A-F4AaABAg,"It turns over 43,000,000 dollars. How embarrassing for Simon and the others.",60,Reply,
1.0,https://www.youtube.com/@jimmycrackers3358,@jimmycrackers3358,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz03IC77qs89NAk8-J4AaABAg,just come here for my break from gordon Ramsay and top gear,32,Reply,13 replies
1.0,https://www.youtube.com/@weloveannanetrebko,@weloveannanetrebko,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyeZH38jLnUqdpS11N4AaABAg,Aaaand now Wonderland is worth £43m. Best investment yet,8,Reply,
1.0,https://www.youtube.com/@davidevans3175,@davidevans3175,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwHcq_gdB1XRoZRcJd4AaABAg,One of the best names for a magazine ever.,5,Reply,2 replies
1.0,https://www.youtube.com/@evilmeerkat007,@evilmeerkat007,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxk3usr0cVd0QA7XTl4AaABAg,nice handshake,3,Reply,
1.0,https://www.youtube.com/@arkadeyellow2931,@arkadeyellow2931,1 year ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzDp-IndinOihIq2pN4AaABAg,Peter Jones schooled the other Dragons in this video on how to be creative and how to think outside the box. AND he did this it on the spot. Impressive.,,Reply,
1.0,https://www.youtube.com/@chanchito4401,@chanchito4401,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxg04VKJeZXiSNxZnp4AaABAg,He reminds me of a Batman villain,17,Reply,
1.0,https://www.youtube.com/@unboxmuseumm,@unboxmuseumm,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwePW-5DyOyRT1a9E94AaABAg,"Wow Peter is absolutely sharp, and I think Rachel fancied him lol.",35,Reply,5 replies
1.0,https://www.youtube.com/@greatergoodfijithegreaterg6272,@greatergoodfijithegreaterg6272,2 years ago (edited),https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzdVsLkuJV3jMkOy-N4AaABAg,Net assets £220 Million in 2022.  The publication garners an annual revenue of $43 million. That's hot,1,Reply,5 replies
1.0,https://www.youtube.com/@_IcyCube_,@_IcyCube_,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzHYrfX0fP1idKuUhJ4AaABAg,"I was watching this video thinking ""publishing is a dying market"" then I thought ""wow, Peter looks young"" Which is when I read the description, and saw that this happened 16 years ago. 

I then went and did a little research, and this company is still going to this day, they now have 3 ""high-quality"" magazines, and they still cater to both men and women, with Peter Jones still being invested in the company.",6,Reply,
1.0,https://www.youtube.com/@richardbrennan7288,@richardbrennan7288,2 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzG9MbNo-1gslrHz3B4AaABAg,Wow... I just saw how much of a success this magazine is and was... the company is worth around 220 mill...,,Reply,1 reply
