Season,Commentor,Time Commented,Comment
2,@akanshajyoti2717,1 year ago,Namita inn kab hoti hai ?
2,@progamers6415,2 years ago,Wow
2,@Traventure_official,2 years ago,Lol
2,@SmilingCamera-rz6hs,1 year ago,Mai shark tank dekh ke hi enterpuner bnn jaounga
2,@husnaingillani5031,1 year ago,Namita must be out of shark tank too
2,@HerDailylife-4,1 year ago,जी
2,@Geebees578,2 years ago,Chatur?
2,@linearvector2835,1 year ago,I wish there was Asneer instead of Namita.
2,@hasanmandhra1,10 months ago,Abhi bata deta hu Namita out hai
2,@rajhazarika9097,1 year ago,For that reason i am out
2,@PriyanshuGarg-k9d,1 year ago,Ye namita ko rkha kyu h
2,@shanvi4797,1 year ago,Kya in five sharks / C se badkar koi investor nahi hai kya apne Desh main
2,@tiaraessex7351,1 year ago,Why does Namita exist on this show?
2,@Travel_diary310,1 year ago,"Namita just tries to find reason to get out .sari conversation mein andar andar sochti hogi ,kab niklege iss k muh se wo baat jis ko pakad k mein out ho jao aur izat b bache"
2,@sauravjyoti7499,2 years ago,Namita ko rakha kyun hai yr...hamesha out hi hoti hai...show se out hi kar do yr isko
2,@theinnovator7813,1 year ago,Most useless shark? NAMITA it is
2,@dtu54ster,2 years ago,Paid promotion channel
2,@ShoxG,10 months ago,"Whenever namita starts speaking,i just skip the part."
2,@brunbarbatista,1 year ago,Namita is comedy
2,@nishanthdas375,1 year ago,Don't take Namita in Season 3
2,@junaskhunti5648,1 year ago,I'm out is compulsory
2,@harileelaagroatbidarbhavi6726,1 year ago,For that reason I m out .......its constant
2,@shanvi4797,1 year ago,"This show is only made for the sharks, if it is so much good why no richest family of India come and invest on this platform, only these five sharks are making money on Indls Ideas.. , . I would request govt and Ratan tata sir to help and support...."
2,@shubhamrules,2 years ago,Fake person is Anupam Mittal and his company
2,@610sidhidkhanna9,2 years ago,namita ji ko bs koi reason chahiye out hone ka. I don't think she is a risk taker
2,@bharatsinheditz1581,4 months ago,Namita ko shark tank se he out kare do
2,@Fanpool,1 year ago,Namita ko season 3 se out koro. Isne company kese bana liya
2,@AparnaGoswami-o3c,1 year ago,Namita out bolney aur style marney ati h
2,@LiyaAkash-g9k,2 weeks ago,Aj mari Ami ny mujhy mara for that reason I'm out ...
2,@thebond2793,2 years ago,Boom hulchul
2,@RajUltra,1 year ago,Who saw MOHAMMED SALAH in this video?
2,@thakurGcodm,1 year ago,I am 20 yo and waching this video
2,@Captain777VPZUU,1 year ago,Kon kon namita wali speech ko skip krke aagey jata h qki pata h ye I'm out hi bolegi
2,@altafbhai6480,1 year ago,Namita ki hamesa ke liye out karo bhai
2,@mradulrajsingh7628,1 year ago,Ye namita ko htao yr mahol bigadti h hamesha
2,@10DUP-IMFT,1 month ago,Namita ka sabse favourite delog for that reason I’m out
2,@alibrothersdub1064,1 year ago,I am out
2,@ravihalai3033,1 year ago,"Wel come to shark tank of. India


Namita. Thapar.   I am out"
2,@CBS_official,1 year ago,I am out
2,@avinashmoka7252,2 years ago,"Corporate politics, guys, these people accept only companies that are not close to them"
2,@arshadcheulkar2109,1 month ago,Bhai koi iss namita ko shark tank se hi out kar do
2,@rohitgour2896,1 year ago (edited),For that reason i am out..
2,@hammadkh5,1 year ago,Because anupam is kanjar thats why he always coughs on high valuations
2,@walsdevin,1 year ago,Fake..I am out..useless
2,@gdgehsbsbshs6927,1 year ago,i just dont like this man
2,@Nobs-c1n,10 months ago,Namrata is a meaningless person in this show
2,@hinelsavani,11 months ago,25.15:Khud out hai aur dusaro k decesion me duniya bhar ki jaldi hai...
2,@vishukumarsharma700-ub8hc,2 years ago,Hello bhai ye sirf idia leke dusre ko bechne ka kaam karta hai aur nahi to khud karega
2,@muhammadjunaidsaeed1373,2 years ago,namita is useless
2,@FS-j3p,1 year ago,"I hate watching this show because the background score and sound effects are deafening and drowns out everything!! If decrease volume u won't be able to hear the dialogue, even if one keep vol to a moderate level just enough to hear the dialogs the background score can be heard from every corner of our home, I wish sony had listen to a different pitch before starting this show or at least watch one before airing it.... Or are they plan to launch in hearing aid industry??? There is no fathomable explanation why one would deliberately keep doing so, im amazed nobody have broth this up!! @sharktankindia"
3,@namansparakh7083,1 year ago,Ritesh being a shark wearing a dolphin tshirt
3,@passionatep1482,1 year ago,"Rest come to make money. 
Ritesh come to earn love !!!"
3,@Carolhope1236,1 year ago,"Vineeta Ma'am, iam sure your professor is very proud of you"
3,@BilalKhan-ff6vr,1 year ago,"Ritesh acha banda he <3 He is a real gem, Love from Pakistan <3"
3,@khushbooparihar6185,8 months ago,I literally about to cry when they all started reading letters and special Vineeta
3,@Yahoohulul,1 year ago,Diamond deal. Aman acted like a shark. Literally. He pushed for 6%. Amount of pressure to take the deal or not. Too smart.
3,@faryalwilliam9167,1 year ago,How come none of them asked dark room ladies yeh in sb ke ghr walon tk pouchy ksy??? It must have been interesting to hear
3,@bishaladhikari9572,1 year ago,Anupam Mittal sahab Ironman ko replace karne Gaye kya
3,@taimoorkhanofficial0,1 year ago (edited),"in every video the comments say he is best shark that is best shark.
No shark is best, Lets start seeing the Founders who are good and not"
3,@Sidharrth_333,1 year ago,Aman apna profit dekhta bs
3,@rajvn8952,7 months ago,Royal challengers written in Ritesh & family's photo!!
3,@nzzzzz5,1 year ago (edited),I know Abt this since long. I am from  Surat most of the  jeweller sell us lab certified . It's unsaid fact for us on the basis of rate.
3,@AnoopRanaVlogs,1 year ago,Jwelbox founder ki bolti band ho gayi shark tank ke samne
3,@GauravPandey-f9,10 months ago,jalwa hai bhayi ka
3,@Mehfil_7233,1 year ago,Finally ritesh sir
3,@prithvirajpatil2916,1 year ago (edited),Anupam Ji attendence NOT 100%
3,@nileshw1368,1 year ago,"Girl : toh, Aman ney mujhey diamond ring di. 
All sharks looking at Aman be like : ohHooo ! kyaa chal rahaa hai ? Bhaabhi ji ko bataa dey ? 
Aman : haaiinn ! Meyney ?!  ( ruko jaraa.. yaad karney do..  )"
3,@Travelwithvikaas,1 year ago,Kon kon entrepreneur banega yaha
3,@trendsoffootball1949,1 year ago,"all mushrooms are edible 
some can be consumed only once"
3,@mohamedhusainnanji9405,1 year ago,We have jewelry shop in Houston & we sell natural & lab diamonds. But as of now here people in America prefer for lab & mozanite & CVD diamonds jewelry
3,@ShwetaChopra1108,1 year ago (edited),"Jewel box should have left the deal. Aman was being an ah and he is anyway kinda dumb and doesn’t understand that lab grown diamonds aren’t artificial jewellery even after all that explanation. They lost out. You have to know to pick your sharks - Ritesh, Vineeta and Piyush are so much better. They would have come chasing, tell them no thanks we want to partner with people who care about the business in the long term"
3,@KUD6174,1 month ago,This is a real shark syndicate
3,@laylamano782,1 year ago,Aman to upset  ho gya tha sudden
3,@MohanSinghRajputUSA,1 year ago,Shark tank ko dekhar kon kon entrepreneur banne ke sapne dekhne laga hai
3,@theamrendravoice8569,1 year ago,Maine bhi yhi se expertise leke businesses khola tha lekin chla nhi
3,@vishalsahu3872,1 year ago,Jalwa h ritesh bhai ka
3,@M-u3k,5 months ago,"Similar way, grand parents can be encouraged to write letters"
3,@thenvironmentalist,11 months ago,"Daak Room really stood out for me as a business with the potential to be a world changer, and to bring people together. How wonderful!"
3,@sharrux1784,1 year ago,Who else is watching from Pakistan like krdo
3,@newazsharif2116,11 months ago,"When entrepreneurs agree with sharks offer then entrepreneurs made the right decision. Otherwise entrepreneurs is stubborn, not flexible"
3,@Milind1973-y7d,9 months ago,5 % pe done karna chahiye tha 1% each
3,@Another_possibility,1 year ago,It's not necessary that whatever works in US works in India also like marriages
3,@sanjeevsharmadnnfnd,1 year ago,Aman n moke ka fyada uthya ki unko five sharks chiye.......barna eske alba 4 b join karte
3,@mayankmalhotra222,1 year ago,"i always wonder about the stupidity of ""All shark""Deal"
3,@AmitChhaperia,2 weeks ago,They should have not asked for 5 shark deal and gone for better valuation
3,@ActuallyDibs,1 year ago,Bkl Aman Gupta
3,@selfrefute,1 year ago,"Few thoughts. Moissanite and lab grown diamonds have been around for ages, even in India. I bought my wife a moissanite ring some 10 years ago from Fiona Diamonds. Surprised the sharks werent aware of this category.
As for the mushroom pitch, the sharks (esp Aman) were needlessly rude in dismissing it I feel. Kinda disrespectful in some ways - it was promising and a market which will grow vs. yet another healthy chips brand that they fawn over"
3,@merciful_leo,9 months ago,Nipun looks like Sharyash talpade
3,@BittuPaswan-k5d,9 months ago,Jitna bhi episode dekhta hu me to mere ko Ritesh genuine banda lagte hai  or ak bat or hai jb koi deal nhi deta to ritesh sir de dete hai
3,@sanjeevsharmadnnfnd,1 year ago,Aman n mome ka fyada utha leya
3,@GulGeeOfficialExtra,1 year ago,Aman the real shark
3,@MerryTree-ce5ok,1 year ago,Lab Diamonds kii koi Astrological Value nahii hotii hai
3,@KhanKhan-vd5hb,1 year ago,"Good job Ritesh bhai prove kardeya Aap my Ke Sachay Indian ho yar
Aman Bhai Tum hi Acchay magar kabe kabe sonch k out huva karo yar"
