"style-scope src","style-scope","yt-simple-endpoint href","Account name","yt-simple-endpoint href 3","yt-core-attributed-string","style-scope 3"
"https://yt3.ggpht.com/ytc/AIdro_n8feMheZkOLqkvFpEJ2D81QXk4ffWmaMycf5PpS8CKgw=s88-c-k-c0x00ffffff-no-rj","@thebeast12333","https://www.youtube.com/@thebeast12333","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugy2uALuM5J717bkyel4AaABAg","£99 for a compass lmao they're completely delusional","6"
"https://yt3.ggpht.com/sMcb4UrjzfGZsNnsrqhu9KNgC_5US6KpU8eQnCSa1M5z1UFvNbmLWsciEUrtmHubT8-2bm-DdA=s88-c-k-c0x00ffffff-no-rj","@Welshy","https://www.youtube.com/@Welshy","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzPTTG1unfY8xMP9kR4AaABAg","My iPhone 6 could tell me the directions through my earphones while listening to music, so why spend so much on a separate device anyway","20"
"https://yt3.ggpht.com/ytc/AIdro_mcJ03utVA6eYe98Sh1nuqWiu2cFIdrX4FxK432pVtX7Js=s88-c-k-c0x00ffffff-no-rj","@nikolatesla6992","https://www.youtube.com/@nikolatesla6992","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwcNOJYvh4SA9ezPrF4AaABAg&pp=0gcJCSIANpG00pGi","Jenny: My fingers are sore from cycling here. I'm out.","8"
"https://yt3.ggpht.com/ytc/AIdro_kTLXlSgB-T2KRvc-L3EXDr5ELlpnWHp408m1U9Ftc=s88-c-k-c0x00ffffff-no-rj","@stavrosgiannaros7041","https://www.youtube.com/@stavrosgiannaros7041","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugxs8-KbsXhxQyah8fZ4AaABAg","If i were them, Cambridge, oxford, and Edinburgh would be my main targets. Even take it to Amsterdam .","54"
"https://yt3.ggpht.com/ytc/AIdro_kgUu-csUo3JLiZuWMQNrIpkHMw1MzCWinVI2kWGxE=s88-c-k-c0x00ffffff-no-rj","@munot56","https://www.youtube.com/@munot56","2 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzUd5Zlg_mv2Om2MdR4AaABAg","They where so wrong. Today we have the beeline Moto, and Velo2  and people love it.","2"
"https://yt3.ggpht.com/ytc/AIdro_m28Y80UaeQEqx_bQZov_7izN3647XuQU_q3qDpeleHYxg=s88-c-k-c0x00ffffff-no-rj","@Foldy435","https://www.youtube.com/@Foldy435","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyHzciqYj2WbmQSaRN4AaABAg","They've blown that cash on themselves, as an investor I'd want an audit into where my cash has gone. Nearly a million quid spent on an off the shelf GPS locator with their packaging on it? I don't think so.","19"
"https://yt3.ggpht.com/ytc/AIdro_kk9zYrFkirZDz7EaNuxFflbqE43c6HFPB2L3y--l2lu-U=s88-c-k-c0x00ffffff-no-rj","@klaraxkat_k6454","https://www.youtube.com/@klaraxkat_k6454","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxyLeTj-Y9JRqNlkQN4AaABAg","Why would you invent a modern compass when sat navs already exist and they're so much better","59"
"https://yt3.ggpht.com/E02GF_nto7VG5PosQVNXYfLgAwPkXlHHhW6zphoxd08b4hSApFOL3IkSyWOdBf3WOAmBIbZrSQ=s88-c-k-c0x00ffffff-no-rj","@Burgerbun___","https://www.youtube.com/@Burgerbun___","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugxg15Bb9wWePsr9h9J4AaABAg","Jenny: I’m not a cyclist 
No Jenny, you’re not much of an investor either","6"
"https://yt3.ggpht.com/ytc/AIdro_mZ7vh4Nrph2wzlwLHUzSR6eFIOJL4v4Pwzk2-f9cU=s88-c-k-c0x00ffffff-no-rj","@renegade1807","https://www.youtube.com/@renegade1807","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugx1lf1VJn8TVG33Mp14AaABAg","As soon as they said the words 'bee line,' Jenny knew what to do.","8"
"https://yt3.ggpht.com/VUsa_dEGhWWWcUaSsZYP86u5nFNvkupdJWVUXleWUEIkd8p2qgeQHfiKF98TrTpMPrqISAEg18g=s88-c-k-c0x00ffffff-no-rj","@mjsdecember1990","https://www.youtube.com/@mjsdecember1990","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwCDXqALW9HjL_lAH94AaABAg","An arrow that points at your destination sounds like crazy taxi","4"
"https://yt3.ggpht.com/ytc/AIdro_ktqhbOuv32VRrPLt-3Vft9a3mPVCywX-55VM9pKbHz5Q=s88-c-k-c0x00ffffff-no-rj","@gothelvis3541","https://www.youtube.com/@gothelvis3541","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxBnRCnsvUwwnC7mYZ4AaABAg&pp=0gcJCSIANpG00pGi","I'll buy one when it's a 30-40 quid sat nav for a bike","10"
"https://yt3.ggpht.com/ytc/AIdro_n2ScVwmARAKwolfwMbV4DFGcZhHRQGYZTRuF6bKX8=s88-c-k-c0x00ffffff-no-rj","@Peter-wd2ho","https://www.youtube.com/@Peter-wd2ho","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxFLRhS3X9m-5h9ivh4AaABAg","Whenever Jenny opens her mouth you can just see the other Dragons thinking ""shut up Jenny, get to 'I'm out' already and let the rest of us ask the questions""","4"
"https://yt3.ggpht.com/ytc/AIdro_m1cXjtEca-HWPIn2Xoh5JLtgb9iVtYJ5LX_go9kxXlzvw=s88-c-k-c0x00ffffff-no-rj","@Jonathan-L","https://www.youtube.com/@Jonathan-L","2 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwEaIYaqG69CWcrcDV4AaABAg","If the Beeline had an anti reflective coating on it, then I might consider buying one.  But 169 quid is too much to pay for the mirror that I don't want.","1"
"https://yt3.ggpht.com/ytc/AIdro_nhUzr0gPFETYnAtlMRkKNssDNY9GW_pjeiUmPLNk10yWz_=s88-c-k-c0x00ffffff-no-rj","@hakim6158","https://www.youtube.com/@hakim6158","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzW7x_lvgvBArLc_W14AaABAg","This comment section is the greatest discovery I've made on YouTube so far in 2020","11"
"https://yt3.ggpht.com/Od9OFGRchziibro6aOZSnxkPYmoszX9gkUComcB7Y3YkS433KE1YYcPuNXOMl69VGi9IJDw5sjM=s88-c-k-c0x00ffffff-no-rj","@DaveyBoyGreen","https://www.youtube.com/@DaveyBoyGreen","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyD_fS3kcSddqOuws94AaABAg&pp=0gcJCSIANpG00pGi","There's not been much rain this year, and for that reason I'm drought","89"
"https://yt3.ggpht.com/ytc/AIdro_na7GUcr0lslVwdkP3TX_gC7uwBvKRzhXbPoJjhaSY3wOY=s88-c-k-c0x00ffffff-no-rj","@manuelias86","https://www.youtube.com/@manuelias86","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugz1VIPMhcZg8LWvzQ14AaABAg","I wonder if Jenny writes on her pad the different ways she could say ""I'm out""","7"
"https://yt3.ggpht.com/vUnnAUJcfHvb2SwlvDNutGSyBc-26T-m470-nF-Lt2YgHnUoHk88nBwreLKr81f2lk8mCkqCNQ=s88-c-k-c0x00ffffff-no-rj","@kirishima638","https://www.youtube.com/@kirishima638","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugw2L3zfh9hj8FmGENB4AaABAg","'Friends and family equity'. Erm that's not equity that's a gift. What happens if you can't pay it back? They get angry at you?","3"
"https://yt3.ggpht.com/Qe0AGK9_B0btOy-CiSqii1bzy8tsIMext-aNsACC17SGBslHQmZAZ1ttz8WqvtT6xTOYL3jFXb4=s88-c-k-c0x00ffffff-no-rj","@xTheBossRules","https://www.youtube.com/@xTheBossRules","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzlpuDzB-m1xKIEQrh4AaABAg&pp=0gcJCSIANpG00pGi","450k towards the business, 50k up the nose!","5"
"https://yt3.ggpht.com/ytc/AIdro_lgXXQ1lzFSbHqkSTI_W45crMg8t54ZiKB5YS9ryBw=s88-c-k-c0x00ffffff-no-rj","@chris-ip4pk","https://www.youtube.com/@chris-ip4pk","3 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugymnw0JmlThZgdjihx4AaABAg","Buy one now and see how far it's come brilliant piece of kit.","23"
"https://yt3.ggpht.com/ytc/AIdro_mv-e3_AsjqIATnDIpuawl9FQpFMoRtAVysjUsw_5q-EQ=s88-c-k-c0x00ffffff-no-rj","@AlphasPath","https://www.youtube.com/@AlphasPath","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugyr-QNHUHwn6M6sLzd4AaABAg","Seems like a very dated idea tbh.","37"
"https://yt3.ggpht.com/J2-IbH0yUDmYb9p2x4IK2k7XSTZpQtOoEcQmgX8nuPiL5lwRf4DzDCP_1tYlu0_JdaNeq_mq-Os=s88-c-k-c0x00ffffff-no-rj","@cormac2515","https://www.youtube.com/@cormac2515","2 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugyy3ZdCuUyzLZOsB3Z4AaABAg","How could anyone in their right mind think this was going to take off. People want smarter and smarter devices, not a dumbed down version of a sat nav","1"
"https://yt3.ggpht.com/FhtReeH3_M2W1lEZPwCJLYN8v_wFwbqVGUp3-lgkkbvcK03Alqbrq7Kisj8J5rssr1iuZg-8VQ=s88-c-k-c0x00ffffff-no-rj","@altered-imagination","https://www.youtube.com/@altered-imagination","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyylaOUVr_k-q0hRcl4AaABAg","""£100 for a compass with a battery....... madness.","6"
"https://yt3.ggpht.com/ytc/AIdro_nBmPrRHoeBUkkESA1ubWdK_phL5ei1862QcKBtxmQ=s88-c-k-c0x00ffffff-no-rj","@dozog","https://www.youtube.com/@dozog","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxvfBgOFnXHJfT-mrN4AaABAg","@ ""Will Jenny Campbell be able to see a route to investment""


So excited, cant wait to hear the answer.","7"
